bus,load_percentage,varied_load,bus_0_voltage_magnitude,bus_0_voltage_angle,bus_1_voltage_magnitude,bus_1_voltage_angle,bus_2_voltage_magnitude,bus_2_voltage_angle,bus_3_voltage_magnitude,bus_3_voltage_angle,bus_4_voltage_magnitude,bus_4_voltage_angle,bus_5_voltage_magnitude,bus_5_voltage_angle,bus_6_voltage_magnitude,bus_6_voltage_angle,bus_7_voltage_magnitude,bus_7_voltage_angle,bus_8_voltage_magnitude,bus_8_voltage_angle,bus_9_voltage_magnitude,bus_9_voltage_angle,bus_10_voltage_magnitude,bus_10_voltage_angle,bus_11_voltage_magnitude,bus_11_voltage_angle,bus_12_voltage_magnitude,bus_12_voltage_angle,bus_13_voltage_magnitude,bus_13_voltage_angle,voltage_increase,angle_increase,attack
0,0.25,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
0,0.5,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
0,0.75,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
0,1,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
1,0.25,5.425,1.06,0,1.045,-4.508390646,1.01,-12.30149298,1.017680398,-9.937339981,1.019571728,-8.431800079,1.07,-13.86806987,1.061536373,-12.98975828,1.09,-12.98975828,1.055967196,-14.5715616,1.05101698,-14.73279792,1.056926248,-14.43185421,1.055189045,-14.72170685,1.050389774,-14.80141162,1.035554647,-15.67189085,0,0,0
1,0.5,10.85,1.06,0,1.045,-4.666273833,1.01,-12.44250902,1.017677984,-10.06236055,1.019553559,-8.54566482,1.07,-13.9855296,1.061531114,-13.1128814,1.09,-13.1128814,1.05595572,-14.69371557,1.051006487,-14.85412892,1.056919823,-14.55127787,1.05518891,-14.83950001,1.05038714,-14.9195341,1.035546639,-15.79230919,0,0,0
1,0.75,16.275,1.06,0,1.045,-4.8243394,1.01,-12.58371076,1.017674804,-10.18754705,1.019534271,-8.659682263,1.07,-14.10315461,1.061525501,-13.23617057,1.09,-13.23617057,1.055943895,-14.81603493,1.050995702,-14.97562524,1.056913246,-14.67086662,1.05518875,-14.95745871,1.050384454,-15.03782182,1.035538406,-15.91289322,0,0,0
1,1,21.7,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
2,0.25,23.55,1.06,0,1.045,-3.055548313,1.01,-6.258231992,1.018056747,-7.363122871,1.020459154,-6.381447987,1.07,-11.64758203,1.061900769,-10.50425798,1.09,-10.50425798,1.056618284,-12.13160075,1.051601709,-12.33131649,1.057273763,-12.1195823,1.055203221,-12.48554024,1.050529083,-12.5499342,1.036000633,-13.31293451,0,0,0
2,0.5,47.1,1.06,0,1.045,-3.684738825,1.01,-8.385084118,1.018082477,-8.328807192,1.020275939,-7.163940365,1.07,-12.4882171,1.061845248,-11.43851817,1.09,-11.43851817,1.056460292,-13.0498744,1.051455276,-13.23599245,1.057182234,-12.99273625,1.055203671,-13.3316681,1.050490863,-13.40154406,1.03588968,-14.20248329,0,0,0
2,0.75,70.65,1.06,0,1.045,-4.326869065,1.01,-10.53994256,1.017955702,-9.31173199,1.019962638,-7.961143602,1.07,-13.34569999,1.061719034,-12.38998353,1.09,-12.38998353,1.056232306,-13.98519564,1.051250307,-14.15766746,1.057060196,-13.88277366,1.055198848,-14.19470969,1.050441873,-14.27001834,1.035733345,-15.10907308,0,0,0
2,1,94.2,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
3,0.25,11.95,1.06,0,1.045,-4.107657203,1.01,-11.19570265,1.02345768,-8.30903008,1.023717289,-7.208857247,1.07,-12.47157206,1.06431038,-11.4176682,1.09,-11.4176682,1.058877343,-13.03327846,1.053465504,-13.21974893,1.058217214,-12.97753416,1.055382116,-13.31320284,1.050853114,-13.38517727,1.037439877,-14.18335418,0,0,0
3,0.5,23.9,1.06,0,1.045,-4.3971671,1.01,-11.70184378,1.021572418,-8.972878392,1.022361587,-7.727459357,1.07,-13.05084606,1.063400491,-12.06097826,1.09,-12.06097826,1.05791579,-13.66442131,1.052655593,-13.84168917,1.057789248,-13.57804551,1.055319163,-13.89679694,1.050699145,-13.97169485,1.036816496,-14.79621094,0,0,0
3,0.75,35.85,1.06,0,1.045,-4.688791903,1.01,-12.21160664,1.01964377,-9.640785616,1.020960735,-8.24908902,1.07,-13.63392619,1.062470347,-12.7082501,1.09,-12.7082501,1.056934055,-14.29945535,1.05182875,-14.46748935,1.05735241,-14.18236289,1.055254655,-14.48421263,1.050542033,-14.56201637,1.036179943,-15.41292839,0,0,0
3,1,47.8,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
4,0.25,1.9,1.06,0,1.045,-4.855750975,1.01,-12.52739616,1.018240517,-10.06235876,1.020392513,-8.486265236,1.07,-13.93876815,1.061763171,-13.10097394,1.09,-13.10097394,1.056143821,-14.67623257,1.051156987,-14.83155778,1.0569909,-14.51692864,1.055207241,-14.79462493,1.050409612,-14.87694042,1.035663205,-15.76373945,0,0,0
4,0.5,3.8,1.06,0,1.045,-4.897982796,1.01,-12.59322313,1.018051464,-10.14579343,1.020100774,-8.582038886,1.07,-14.03273233,1.061682337,-13.18710724,1.09,-13.18710724,1.056073483,-14.76357613,1.051099834,-14.92004697,1.056962929,-14.60806841,1.055201044,-14.88818317,1.050400367,-14.96995838,1.03561902,-15.85361777,0,0,0
4,0.75,5.7,1.06,0,1.045,-4.940262115,1.01,-12.65912427,1.017861577,-10.2293074,1.019807891,-8.677901592,1.07,-14.12679158,1.061601125,-13.27332489,1.09,-13.27332489,1.056002783,-14.85100554,1.051042381,-15.0086237,1.056934802,-14.69929936,1.055194818,-14.98183618,1.050391067,-15.06307017,1.0355746,-15.94358595,0,0,0
4,1,7.6,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
5,0.25,2.8,1.06,0,1.045,-4.790283047,1.01,-12.4129681,1.018712899,-9.913392474,1.020869587,-8.371204425,1.07,-13.09746008,1.061588969,-12.77840219,1.09,-12.77840219,1.055386258,-14.2654741,1.0504349,-14.34534838,1.056519528,-13.85586847,1.05521437,-13.98367992,1.050208017,-14.09641845,1.035109736,-15.19345639,0,0,0
5,0.5,5.6,1.06,0,1.045,-4.854225717,1.01,-12.5167348,1.018370752,-10.04629956,1.020424225,-8.505194328,1.07,-13.47131376,1.061570197,-12.97170763,1.09,-12.97170763,1.055573683,-14.48932969,1.050623826,-14.59548067,1.056652651,-14.1668905,1.0552067,-14.34701198,1.05026763,-14.44909237,1.03525511,-15.47297219,0,0,0
5,0.75,8.4,1.06,0,1.045,-4.918327323,1.01,-12.62077793,1.018023414,-10.17946806,1.019972329,-8.639409833,1.07,-13.84580507,1.061547059,-13.16544736,1.09,-13.16544736,1.05575551,-14.71367631,1.050807074,-14.84612455,1.056781652,-14.47847138,1.055198099,-14.71097606,1.050325531,-14.8023743,1.035395186,-15.75303165,0,0,0
5,1,11.2,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
6,0.25,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
6,0.5,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
6,0.75,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
6,1,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
7,0.25,0,1.06,0,1.045,-4.982589142,1.01,-12.72509994,1.017670854,-10.31290109,1.01951386,-8.773853898,1.07,-14.22094646,1.061519532,-13.35962737,1.09,-13.35962737,1.055931721,-14.93852129,1.050984625,-15.09728846,1.056906519,-14.79062203,1.055188563,-15.07558452,1.050381714,-15.15627634,1.035529946,-16.03364453,0,0,0
